VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-TA	AK	L19K	White Mountain, AK, USA	62.18	-154.85	650.0	2019/10/14	2021/04/30	Ended	2015/06/19	2019/09/27
_US-TA	AK	L20K	Farewell, AK, USA	62.48	-153.88	673.0	2019/10/21	2021/04/30	Ended	2015/08/16	2019/10/07
_US-TA	AK	L22K	Petersville, AK, USA	62.53	-150.77	817.0	2019/11/20	2021/04/30	Ended	2019/07/17	2019/10/16
_US-TA	AK	L26K	Log Cabin Wilderness Lodge, Tok, AK, USA	63.03	-143.35	650.0	2019/10/14	2020/11/29	Ended	2014/07/22	2019/09/30
_US-TA	AK	M11K	Mekoryuk, AK, USA	60.38	-166.20	3.0	2020/11/04	2021/04/30	Ended	2017/05/23	2020/10/25
_US-TA	AK	M14K	Bethel, AK, USA	60.75	-161.96	19.0	2020/11/04	2021/04/30	Ended	2017/05/21	2020/10/25
_US-TA	AK	M16K	Timber Creek, AK, USA	61.02	-158.96	394.0	2020/09/23	2021/04/30	Ended	2017/05/11	2020/09/27
_US-TA	AK	M19K	Big River Lodge, Big River, AK, USA	61.90	-154.39	521.0	2019/09/24	2021/04/30	Ended	2015/06/18	2019/09/09
_US-TA	AK	M20K	Styx River, AK, USA	61.88	-153.13	1107.0	2019/10/21	2021/04/30	Ended	2015/06/20	2019/10/13
_US-TA	AK	M23K	Glacier View, AK, USA	61.79	-147.73	583.0	2020/04/17	2021/04/30	Ended	2016/04/11	2020/04/26
_US-TA	AK	M26K	Nabesna, AK, USA	62.40	-143.00	888.0	2019/10/14	2021/04/30	Ended	2015/07/11	2019/09/27
_US-TA	AK	M27K	Edge Creek, AK, USA	62.36	-141.88	1536.0	2019/10/14	2021/04/30	Ended	2015/07/11	2019/09/27
_US-TA	AK	MCAR	McCarthy VSAT, AK, USA	61.38	-143.02	447.0	2015/02/19	2021/04/30	Ended	2012/12/31	2015/02/19
_US-TA	AK	MCK	McKinley Park, AK, USA	63.73	-148.94	618.0	2014/10/02	2021/04/30	Ended	1998/08/14	2014/10/02
_US-TA	AK	MESA	Mesa, AK, USA	60.18	-141.95	1907.0	2018/09/08	2021/04/09	Ended	2012/12/31	2015/02/19
_US-TA	AK	MESA	Mesa, AK, USA	60.18	-141.95	1919.0	2015/02/19	2018/09/07	Ended	2012/12/31	2015/02/19
_US-TA	AK	MLY	Manley Hot Springs, AK, USA	65.03	-150.74	812.0	2014/10/02	2021/04/30	Ended	2009/08/04	2014/10/02
_US-TA	AK	N15K	Kwethluk River, AK, USA	60.17	-160.09	449.0	2020/09/23	2021/04/30	Ended	2017/05/19	2020/09/27
_US-TA	AK	N18K	Kilae Creek, AK, USA	60.68	-155.89	572.0	2019/10/14	2021/04/30	Ended	2015/06/12	2019/09/27
_US-TA	AK	N19K	Bonanza Creek NPS repeater, AK, USA	60.81	-154.48	1144.0	2019/10/14	2021/04/30	Ended	2015/06/12	2019/09/27
_US-TA	AK	NEA2	Nenana, AK, USA	64.59	-149.07	450.0	2014/06/15	2021/04/30	Ended		2014/06/16
_US-TA	AK	NIKH	Nikolski High Hill, AK, USA	52.97	-168.85	199.0	2015/02/19	2021/03/08	Ended	2007/06/20	2015/02/19
_US-TA	AK	O14K	Tigyukauivet Mountain, AK, USA	59.25	-161.26	129.0	2020/09/23	2021/04/30	Ended	2017/05/16	2020/09/27
_US-TA	AK	O18K	Koktuh Hills, AK, USA	59.85	-155.21	544.0	2019/09/24	2021/04/30	Ended	2015/06/13	2019/08/25
_US-TA	AK	O19K	Port Alsworth, AK, USA	60.20	-154.32	96.0	2019/11/20	2021/04/30	Ended	2015/06/08	2019/11/11
_US-TA	AK	O20K	Slope Mountain, AK, USA	60.08	-152.62	915.0	2019/12/20	2021/04/30	Ended	2015/06/23	2019/12/19
_US-TA	AK	P08K	Saint George Island, AK, USA	56.60	-169.55	36.0	2019/11/20	2021/04/30	Ended	2017/10/08	2019/11/11
_US-TA	AK	P16K	Nushagak River, AK, USA	59.03	-157.99	85.9	2019/12/04	2021/04/30	Ended	2016/05/25	2019/12/04
_US-TA	AK	P17K	Kvichak River, AK, USA	59.20	-156.44	91.0	2019/12/04	2021/04/30	Ended	2016/05/30	2019/12/04
_US-TA	AK	P23K	Montague Island, AK, USA	60.00	-147.40	287.0	2019/09/24	2021/04/30	Ended	2016/05/21	2019/08/25
_US-TA	AK	PAX	Paxson, AK, USA	62.97	-145.47	1150.0	2015/02/19	2021/04/30	Ended	2003/10/05	2015/02/19
_US-TA	AK	PIN	Pinnacle, AK, USA	60.10	-140.25	975.0	2015/02/19	2021/04/30	Ended	2003/05/31	2015/02/19
_US-TA	AK	PNL	Peninsula, AK, USA	59.67	-139.40	586.0	2015/10/24	2021/04/30	Ended	2001/08/15	2015/10/25
_US-TA	AK	POKR	Poker Flat Research Range, AK, USA	65.12	-147.43	501.0	2020/02/21	2021/04/30	Ended	2012/10/01	2020/02/20
_US-TA	AK	PPD	Porcupine Dome, AK, USA	65.52	-145.52	1505.0	2015/02/19	2021/04/30	Ended	2011/09/04	2015/02/19
_US-TA	AK	PPLA	Purkeypile, AK, USA	62.90	-152.19	1519.0	2015/02/19	2021/04/30	Ended	2002/12/10	2015/02/19
_US-TA	AK	PWL	Port Wells, AK, USA	60.86	-148.33	550.0	2015/10/24	2021/04/30	Ended	2010/09/12	2015/10/25
_US-TA	AK	Q19K	Cape Douglas, AK, USA	58.93	-153.64	631.0	2019/11/20	2021/04/30	Ended	2015/08/14	2019/10/28
_US-TA	AK	Q23K	Middleton Island, AK, USA	59.43	-146.34	46.0	2019/09/24	2021/04/30	Ended	2014/08/15	2019/09/29
_US-TA	AK	R16K	Pilot Point, AK, USA	57.57	-157.57	38.0	2019/12/04	2021/04/30	Ended	2016/06/07	2019/12/04
_US-TA	AK	R18K	Karluk, AK, USA	57.57	-154.45	39.0	2019/10/21	2020/01/23	Ended	2017/04/25	2019/10/17
_US-TA	AK	R32K	Eaglecrest, AK, USA	58.27	-134.52	386.0	2019/12/16	2021/04/30	Ended	2016/08/20	2019/12/09
_US-TA	AK	RC01	Rabbit Creek, AK, USA	61.09	-149.74	390.0	2014/09/03	2021/04/30	Ended	1998/08/06	2014/09/03
_US-TA	AK	RDOG	Red Dog Mine, AK, USA	68.05	-162.91	423.0	2015/02/19	2021/04/30	Ended	2009/06/19	2015/02/19
_US-TA	AK	RIDG	Independent Ridge, AK, USA	63.74	-144.85	871.0	2015/02/19	2021/04/30	Ended	2007/06/30	2015/02/19
_US-TA	AK	S15K	Chignik Lagoon, AK, USA	56.31	-158.54	17.0	2020/02/13	2021/04/30	Ended	2018/07/11	2020/02/20
_US-TA	AK	S19K	Old Harbor, AK, USA	57.22	-153.29	47.0	2020/02/18	2021/04/30	Ended	2018/05/23	2020/02/20
_US-TA	AK	S31K	Pelican, AK, USA	57.96	-136.23	34.0	2019/10/21	2021/04/30	Ended	2016/09/20	2019/10/16
_US-TA	AK	S32K	Killisnoo, AK, USA	57.47	-134.58	26.0	2019/09/24	2021/04/30	Ended	2016/09/08	2019/08/25
_US-TA	AK	SAW	Sawmill, AK, USA	61.81	-148.33	781.0	2015/02/19	2021/04/30	Ended	1999/11/06	2015/02/19
_US-TA	AK	SCM	Sheep Mountain, AK, USA	61.83	-147.33	1050.0	2015/10/24	2021/04/30	Ended	2009/06/27	2015/10/25
_US-TA	AK	SCRK	Sand Creek, AK, USA	63.98	-143.99	1375.0	2014/07/29	2021/04/30	Ended	2007/06/30	2014/07/28
_US-TA	AK	SII	Sitkinak Island Coast Guard, AK, USA	56.56	-154.18	492.0	2015/02/19	2021/04/30	Ended	2007/08/28	2015/02/19
_US-TA	AK	SKN	Skwentna, AK, USA	61.98	-151.53	581.0	2015/02/19	2021/04/30	Ended	2006/05/14	2015/02/19
_US-TA	AK	SPIA	St Paul Island, AK, USA	57.18	-170.25	71.0	2015/02/19	2021/04/30	Ended	2000/09/18	2015/02/19
_US-TA	AK	SSN	Susitna, AK, USA	61.46	-150.75	1306.0	2015/02/19	2021/04/30	Ended	2008/08/14	2015/02/19
_US-TA	AK	SWD	Seward, AK, USA	60.10	-149.45	77.0	2015/02/19	2020/12/02	Ended	2001/06/03	2015/02/19
_US-TA	AK	TNA	Tin City, AK, USA	65.56	-167.93	74.0	2014/10/12	2021/04/30	Ended	1998/10/23	2014/10/12
_US-TA	AK	TOLK	Toolik Lake Research Station, AK, USA	68.64	-149.57	760.0	2020/02/15	2021/04/30	Ended	2011/08/12	2020/02/20
_US-TA	AK	TRF	Thorofare Mountian, AK, USA	63.45	-150.29	1709.9	2016/09/01	2021/04/30	Ended	2003/06/05	2015/02/19
_US-TA	AK	TRF	Thorofare Mountian, AK, USA	63.45	-150.29	1711.9	2015/02/19	2016/08/31	Ended	2003/06/05	2015/02/19
_US-TA	AK	U33K	Whale Pass, AK, USA	56.11	-133.12	11.0	2019/10/21	2021/04/30	Ended	2016/08/19	2019/10/16
_US-TA	AK	UNV	Unalaska Valley, AK, USA	53.85	-166.50	65.0	2015/02/19	2021/04/30	Ended	1999/02/18	2015/02/19
_US-TA	AK	V35K	Ketchikan, AK, USA	55.33	-131.62	64.0	2019/10/21	2021/04/30	Ended	2016/08/17	2019/10/16
_US-TA	AK	WAT1	Susitna Watana 1, AK, USA	62.83	-148.55	722.0	2015/06/25	2021/04/30	Ended	2012/08/11	2015/06/24
_US-TA	AK	WAT2	Susitna Watana 2, AK, USA	62.96	-148.59	1366.0	2015/02/19	2015/06/17	Ended	2012/08/12	2015/02/19
_US-TA	AK	WAT6	Susitna Watana 6, AK, USA	62.58	-147.74	1681.0	2015/02/19	2021/04/30	Ended	2013/07/31	2015/02/19
_US-TA	AT	CHGN	Chignik, Alaska	56.30	-158.41	17.0	2015/02/19	2021/04/30	Ended	2011/08/09	2015/02/19
_US-TA	AT	CRAG	Craig, Alaska	55.47	-133.12	57.9	2015/02/19	2021/04/30	Ended	2004/12/09	2015/02/19
_US-TA	AT	OHAK	Old Harbor, Alaska	57.22	-153.29	77.5	2015/02/19	2021/04/30	Ended	2006/06/22	2015/02/19
_US-TA	AT	PMR	Palmer, Alaska	61.59	-149.13	100.0	2015/02/19	2021/04/30	Ended	2002/09/29	2015/02/19
_US-TA	AT	SDPT	Sand Point, Alaska	55.35	-160.48	74.0	2015/02/19	2021/04/30	Ended	2002/08/27	2015/02/19
_US-TA	AT	SIT	Sitka, Alaska	57.06	-135.32	19.0	2015/02/19	2021/04/30	Ended	1999/09/10	2015/02/19
_US-TA	AT	SKAG	Skagway, Alaska	59.46	-135.33	134.0	2015/02/19	2021/04/30	Ended	2004/10/12	2015/02/19
_US-TA	AT	TTA	Tatalina, Alaska	62.93	-156.01	990.0	2015/02/19	2019/06/03	Ended	2010/05/12	2015/02/19
_US-TA	AV	N20K	Mount Spurr, AK, USA	61.20	-152.21	991.0	2020/04/29	2021/04/30	Ended	2020/04/25	2020/05/11
_US-TA	AV	N25K	Chitina, Valdez-Cordova, AK, USA	61.61	-144.60	1087.0	2020/05/01	2021/04/30	Ended	2020/04/25	2020/05/11
_US-TA	AV	P18K	Big Mountain, AK, USA	59.39	-155.23	680.0	2020/04/27	2021/04/30	Ended	2015/06/14	2020/04/28
_US-TA	AV	P19K	Oil Pt, AK, USA	59.65	-153.23	629.0	2020/04/30	2021/04/30	Ended	2020/04/25	2020/05/11
_US-TA	AV	Q17K	Contact Creek, Katmai, AK, USA	58.26	-155.89	1165.0	2020/04/29	2021/04/30	Ended	2016/06/04	2020/05/03
_US-TA	AV	Q18K	Katmai Hardscrabble Creek, AK, USA	58.65	-155.01	1250.0	2020/04/29	2021/04/30	Ended	2016/06/01	2020/05/03
_US-TA	AV	Q20K	Shuyak Island, AK, USA	58.61	-152.39	180.0	2020/04/27	2021/04/30	Ended	2016/05/24	2020/05/03
_US-TA	AV	R17L	Mt. Peulik Volcano, AVO PLK4, AK, USA	57.63	-156.36	524.0	2020/04/27	2021/04/30	Ended	2018/06/22	2020/04/28
_US-TA	AV	S12K	Black Hills, AK, USA	55.70	-162.06	411.0	2020/09/17	2021/04/19	Ended	2016/06/10	2020/09/29
_US-TA	AV	S14K	Fog Glacier, AK, USA	56.28	-159.55	1059.0	2020/11/22	2020/11/25	Ended	2016/06/12	2020/12/07
_US-TA	AV	SPCR	Ckakachatna River, Mount Spurr, Alaska	61.20	-152.21	984.0	2015/02/19	2021/04/30	Ended	2005/10/31	2015/02/19
_US-TA	AZ	MONP	Monument Peak, Mt. Laguna, CA, USA	32.89	-116.42	1920.0	2004/04/14	2007/10/24	Ended		
_US-TA	AZ	MONP2	Monument Peak TA Vault, Mt. Laguna, CA, USA	32.89	-116.42	1875.0	2007/10/24	2018/08/20	Ended	2007/10/23	
_US-TA	AZ	PFO	Pinyon Flats Observatory, CA, USA	33.61	-116.46	1259.0	2004/04/14	2018/08/20	Ended		
_US-TA	BK	BDM	Black Diamond Mines Park, Antioch, CA, USA	37.95	-121.87	219.8	2005/02/10	2007/11/19	Ended		
_US-TA	BK	CMB	Columbia College, Columbia, CA, USA	38.03	-120.39	697.0	2004/04/30	2007/11/19	Ended		
_US-TA	BK	CVS	Carmenet Vineyards, Sonoma, CA, USA	38.35	-122.46	295.1	2004/04/30	2007/11/19	Ended		
_US-TA	BK	FARB	Farallon Islands, CA, USA	37.70	-123.00	-18.5	2004/04/30	2007/11/19	Ended		
_US-TA	BK	GASB	Alder Springs, CA, USA	39.65	-122.72	1354.8	2005/09/22	2007/11/19	Ended	2005/09/21	
_US-TA	BK	HOPS	Hopland Research and Extension Center, Hopland, CA	38.99	-123.07	299.1	2004/04/30	2007/11/19	Ended		
_US-TA	BK	HUMO	Hull Mountain, OR, USA	42.61	-122.96	554.9	2004/04/30	2007/11/19	Ended		
_US-TA	BK	JCC	Jacoby Creek, Bayside, CA, USA	40.82	-124.03	27.2	2004/04/30	2007/11/19	Ended		
_US-TA	BK	JRSC	Jasper Ridge Biol. Preserve, Stanford, CA, USA	37.40	-122.24	70.5	2004/04/30	2007/11/19	Ended		
_US-TA	BK	KCC	Kaiser Creek, CA, USA	37.32	-119.32	888.1	2004/04/30	2007/11/19	Ended		
_US-TA	BK	MCCM	Marconi Conference Center, Marshall, CA, USA	38.14	-122.88	-7.7	2006/02/03	2007/11/19	Ended	2006/02/02	
_US-TA	BK	MNRC	McLaughlin Natural Reserve (UC Davis), CA, USA	38.88	-122.44	709.9	2004/04/30	2007/11/19	Ended		
_US-TA	BK	MOD	Modoc Plateau, CA, USA	41.90	-120.30	1554.5	2004/04/30	2007/11/19	Ended		
_US-TA	BK	ORV	Oroville Dam, Oroville, CA, USA	39.55	-121.50	334.7	2004/04/30	2007/11/19	Ended		
_US-TA	BK	PACP	Pacheco Peak, CA, USA	37.01	-121.29	844.0	2004/04/30	2007/11/19	Ended		
_US-TA	BK	PKD	Bear Valley Ranch, Parkfield, CA, USA	35.95	-120.54	583.0	2004/04/30	2007/11/19	Ended		
_US-TA	BK	POTR	Potrero Hills, Fairfield, CA, USA	38.20	-121.94	20.0	2004/04/30	2005/02/05	Ended		
_US-TA	BK	WDC	Whiskeytown Dam, Whiskeytown, CA, USA	40.58	-122.54	268.3	2004/04/30	2007/11/19	Ended		
